Prox,Proy,Pany,Excay,Bispy,Tripy,Paly
574.0339868,6140.399414,4860.599609,5006.300781,3969.501953,7093.600586,7361.800049
574.7709149,6130.599609,4939.699219,4981,4051.300781,7077.700195,7361.300049
575.5077403,6176.298828,4977.899414,5013.100586,4033.300781,7105.400391,7350.800049
576.2444632,6144.199219,5010.099609,5031.400391,4080.501953,7076.200195,7373.600098
576.9810835,6154.699219,4908.899414,5007,4043.902344,7036.400391,7379.600098
577.7176012,6120.399414,4993.399414,4943,4195.701172,7047.800293,7365.400146
578.4540164,6159.199219,4965,5000.800781,4136.601563,7075.000488,7377.600098
579.1903291,6305.199219,5067.799805,5068,4195.601563,7096.600586,7391
579.9265394,6217.599609,4970.099609,4988.800781,4198.201172,7094.600586,7382.900146
580.6626472,6255.699219,5078.899414,5032.800781,4196.601563,7116.200195,7392.800049
581.3986527,6307.599609,5043.599609,5050.5,4176.501953,7126.800293,7386.5
582.1345557,6214.999023,4942.599609,5033.5,4132.601563,7093.700195,7402.100098
582.8703564,6115.699219,4991.299805,4989.800781,4104.501953,7103.900391,7400.300049
583.6060547,6172.199219,4993,4954.300781,4013.101563,7081.900391,7380.800049
584.3416508,6209.798828,4940,4929.800781,4059.001953,7111.400391,7378.800049
585.0771446,6107.399414,4975.699219,4937.100586,4088.300781,7071.700195,7384.700195
585.8125361,6135.399414,4941.599609,4973.5,4090.402344,7079.100586,7368.200195
586.5478254,6103.399414,4914.699219,4962.300781,4006.201172,7086.700195,7423.900146
587.2830125,6099.099609,4985.099609,5004.100586,4051.101563,7136.000488,7443.600098
588.0180974,6111.798828,5083.5,4987,4126.101563,7079.900391,7450.300049
588.7530802,6143.298828,5055.699219,5117.600586,4174.601563,7145.600586,7458.700195
589.4879609,6214.499023,4988.599609,5122.200195,4178.300781,7209.000488,7519.200195
590.2227395,6171.699219,5052.5,5021.200195,4305.701172,7186.900391,7494.5
590.957416,6185.099609,5135.5,5007.900391,4177.402344,7198.800293,7495.900146
591.6919905,6145.199219,5073.299805,5034.800781,4162.601563,7125.900391,7506.700195
592.426463,6098.599609,5001.199219,5056.800781,4127.001953,7166.000488,7453.700195
593.1608335,6016.899414,4963.599609,5008.700195,3954.601563,7115.500488,7427.100098
593.895102,6056.999023,4910.599609,4990.700195,3944.501953,7063.200195,7416.800049
594.6292686,6025.999023,4889.199219,4897.300781,3981.601563,7052.500488,7409.300049
595.3633334,6035.798828,4922.299805,5012.5,3952.601563,7049.700195,7393.900146
596.0972962,5991.798828,4976.899414,4868.100586,4011.701172,7030.400391,7392
596.8311572,6024.499023,4869,4876,3930.800781,7055.800293,7400.600098
597.5649163,6077.399414,4937.899414,4937,3903.800781,7069.400391,7373.100098
598.2985737,6064.399414,4949,5014.100586,4046.402344,7078.200195,7380.300049
599.0321293,6066.499023,4906.399414,4994.400391,4119.402344,7079.800293,7381.900146
599.7655831,5956.699219,4999.5,4976.700195,4087.001953,7065.700195,7390.700195
600.4989352,5969.099609,4942.099609,5047.300781,3996.601563,7037.800293,7387
601.2321857,6056.798828,4965,4975.700195,4042.501953,7040.000488,7394.300049
601.9653344,6017.199219,4899.5,4988.5,4067.300781,7068.600586,7384
602.6983815,6083.298828,4977.599609,5012.200195,4006.101563,7009.100586,7385.300049
603.4313271,5998.199219,4964.299805,5019.400391,4177.701172,7049.300293,7416.400146
604.164171,6085.199219,4985.699219,5039.100586,4224.601563,7103.100586,7429.800049
604.8969134,6122.399414,4997.199219,5076.5,4244.402344,7125.200195,7422.100098
605.6295542,6107.899414,5050.099609,5063.400391,4291.402344,7074.600586,7405.800049
606.3620935,6086.199219,5031.5,5060.700195,4290.501953,7060.900391,7445.800049
607.0945314,6120.199219,5062.5,5065.200195,4344.601563,7127.600586,7383.600098
607.8268678,6177.699219,5086.399414,5086.5,4310.001953,7093.900391,7397.800049
608.5591027,6158.099609,5066.199219,5087.400391,4357.601563,7055.600586,7381.100098
609.2912363,6120.899414,5042.899414,5014.400391,4204.201172,7078.100586,7374.100098
610.0232685,6180.599609,4990.699219,5055.300781,4265.001953,7049.700195,7375.100098
610.7551994,6132.298828,4999.099609,5049.100586,4344.501953,7064.700195,7372.100098
611.4870289,6060.399414,5099.599609,5125.700195,4297.402344,7046.000488,7387.900146
612.2187571,6161.798828,5046.5,5129.5,4214.402344,7074.800293,7387.400146
612.9503841,6072.099609,5001,5084.200195,4270.300781,7107.200195,7370.600098
613.6819098,6026.798828,4988.899414,5059.800781,4161.101563,7097.000488,7375.600098
614.4133343,6128.298828,5047,5121.200195,4310.001953,7094.100586,7375.600098
615.1446576,6132.099609,5078.699219,5130.700195,4308.201172,7087.200195,7387.700195
615.8758798,6118.999023,5166.799805,5148.300781,4350.701172,7078.200195,7373.600098
616.6070008,6140.298828,5113.399414,5072,4183.201172,7034.500488,7377.5
617.3380207,6149.399414,5072.899414,5192.100586,4346.402344,7085.800293,7355.700195
618.0689395,6142.099609,5014.199219,5077.300781,4374.300781,7034.300293,7381.200195
618.7997573,6163.599609,5107.399414,5097.900391,4373.001953,7044.400391,7373.100098
619.530474,6200.298828,5137.399414,5122.100586,4447.201172,7085.700195,7362.300049
620.2610898,6229.798828,5162,5151,4293.402344,7099.900391,7376.300049
620.9916045,6160.099609,5227.299805,5218.100586,4389.001953,7103.200195,7363.700195
621.7220183,6190.298828,5210.399414,5176.800781,4481.800781,7077.800293,7376.100098
622.4523312,6217.199219,5134.699219,5162.700195,4444.201172,7123.800293,7383.5
623.1825432,6210.599609,5196.299805,5272.300781,4441.601563,7158.500488,7396.700195
623.9126543,6191.399414,5196.599609,5237.700195,4388.300781,7114.200195,7362.600098
624.6426645,6195.899414,5151.299805,5262.5,4484.902344,7142.800293,7389.900146
625.3725739,6218.999023,5173.5,5295.5,4607.001953,7151.600586,7374.5
626.1023826,6230.999023,5253.599609,5266.800781,4514.601563,7124.600586,7369.100098
626.8320905,6254.699219,5297.699219,5316.400391,4647.701172,7149.700195,7383.700195
627.5616976,6270.099609,5298.799805,5280.700195,4574.501953,7121.700195,7408.300049
628.291204,6316.798828,5300.699219,5297.200195,4616.201172,7185.400391,7385.5
629.0206097,6307.499023,5216.099609,5343.5,4677.601563,7146.300293,7391
629.7499148,6399.199219,5244.099609,5251.400391,4615.001953,7140.100586,7379.600098
630.4791192,6258.199219,5271.799805,5316.700195,4612.402344,7107.400391,7405.100098
631.208223,6223.699219,5348.699219,5280,4597.201172,7124.400391,7397.700195
631.9372262,6247.798828,5310.699219,5297.400391,4669.402344,7126.000488,7387.900146
632.6661289,6256.798828,5344.699219,5333,4739.101563,7161.100586,7378
633.394931,6395.298828,5369.899414,5312.5,4738.402344,7158.600586,7380.900146
634.1236327,6363.199219,5370.399414,5319.200195,4757.601563,7149.000488,7389.600098
634.8522338,6339.399414,5362.899414,5345.200195,4816.501953,7190.600586,7385.5
635.5807345,6433.199219,5433,5313.900391,4733.300781,7177.800293,7406.100098
636.3091348,6397.298828,5410.199219,5327.900391,4788.800781,7181.100586,7386
637.0374347,6307.899414,5416.599609,5340.200195,4824.601563,7209.000488,7383.200195
637.7656342,6405.499023,5416,5427.400391,4788.402344,7162.800293,7385.800049
638.4937333,6388.599609,5422.899414,5427.5,4767.501953,7159.700195,7392.200195
639.2217321,6377.699219,5400,5424.600586,4814.001953,7176.400391,7382.100098
639.9496307,6336.499023,5369.799805,5306.900391,4737.001953,7175.800293,7410.600098
640.6774289,6369.899414,5359.599609,5390.400391,4865.402344,7127.800293,7396.400146
641.405127,6346.399414,5402.599609,5402.600586,4789.001953,7225.900391,7386.5
642.1327248,6378.999023,5419.199219,5373.200195,4739.201172,7211.500488,7384.100098
642.8602224,6416.298828,5444.199219,5373.600586,4879.201172,7147.300293,7392.300049
643.5876198,6296.599609,5458.199219,5360.900391,4781.101563,7177.000488,7379.700195
644.3149171,6416.999023,5477.299805,5384.200195,4823.800781,7228.700195,7392.400146
645.0421143,6403.099609,5486.299805,5418.900391,4797.402344,7178.200195,7393.400146
645.7692114,6360.899414,5431.599609,5452.100586,4876.101563,7211.400391,7390.800049
646.4962084,6413.999023,5459.199219,5384.400391,4942.402344,7204.300293,7412.100098
647.2231054,6408.599609,5471.5,5437.800781,4848.601563,7203.700195,7393.700195
647.9499024,6438.298828,5498,5475.5,5016.101563,7178.700195,7398.600098
648.6765994,6392.899414,5496.599609,5400.400391,4984.201172,7186.700195,7422.300049
649.4031965,6481.298828,5594.399414,5435.900391,4966.402344,7130.700195,7407.700195
650.1296936,6463.699219,5511.599609,5556.400391,5010.800781,7190.600586,7391.700195
650.8560909,6418.699219,5634.299805,5504,5038.701172,7236.500488,7414.600098
651.5823882,6472.599609,5550.799805,5517.800781,5044.001953,7254.400391,7405.400146
652.3085857,6469.499023,5605.5,5495.5,5103.101563,7236.000488,7414
653.0346834,6464.699219,5593.599609,5532.700195,5065.201172,7239.400391,7389.800049
653.7606812,6518.599609,5634.099609,5480.800781,5007.300781,7214.100586,7395.700195
654.4865793,6491.699219,5676.5,5522.900391,5027.701172,7267.700195,7399.700195
655.2123777,6460.399414,5621.799805,5449.700195,5055.300781,7236.800293,7397.200195
655.9380763,6501.399414,5557.5,5467.900391,5095.501953,7192.200195,7402.300049
656.6636752,6425.798828,5642.799805,5598.800781,5159.701172,7298.100586,7402.400146
657.3891745,6485.999023,5555.599609,5505.700195,5080.501953,7245.600586,7410.200195
658.1145741,6498.199219,5651,5470.700195,5015.902344,7219.500488,7410.600098
658.8398741,6491.999023,5525.299805,5550.800781,5042.300781,7306.300293,7400.600098
659.5650745,6400.199219,5542.699219,5607.900391,5111.501953,7215.500488,7406.100098
660.2901753,6480.499023,5600.399414,5564.400391,5001.501953,7223.200195,7415.700195
661.0151766,6476.699219,5599.5,5523.800781,5039.800781,7253.400391,7408.5
