Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A);Color
W. excavata;13.57270549;0.392880861;38;27.31391826;9.98392421;#2686a0
W. excavata;26.34081554;0.69291027;23;50.40780326;16.52757814;#2686a0
W. excavata;38.68550815;0.813186517;38;77.16771844;23.1539468;#2686a0
W. excavata;47.08219442;0.823893277;42;81.41162941;26.89213918;#2686a0
W. excavata;9.466657795;0.323999702;49;22.64636964;7.946625254;#2686a0
W. excavata;36.26472875;0.809830933;29;77.65803003;21.8394872;#2686a0
W. excavata;43.69597683;0.81433247;13;75.66259283;25.89384131;#2686a0
W. excavata;23.14750201;0.710434587;50;50.60796568;14.86781615;#2686a0
W. excavata;27.45614616;0.569452152;12;55.61039942;17.10935073;#2686a0
W. excavata;44.2604809;0.822144248;32;80.50029541;26.0528289;#2686a0
W. excavata;28.04424462;0.775639204;35;67.19709526;17.78195766;#2686a0
W. excavata;39.0081774;0.804236028;46;73.88355298;23.25062255;#2686a0
W. excavata;16.13994563;0.538172217;36;36.00040965;11.18915338;#2686a0
W. excavata;37.03053872;0.814621153;27;78.84891865;22.22983245;#2686a0
W. excavata;40.59044847;0.816117925;47;77.92805401;24.26912354;#2686a0
W. excavata;46.14536527;0.811068348;33;78.49824068;25.58872107;#2686a0
W. excavata;32.86573116;0.798436074;12;73.94106367;19.6832696;#2686a0
W. excavata;24.76464438;0.601495302;34;45.71882488;15.51280997;#2686a0
W. excavata;44.10279307;0.809345057;45;79.88907439;25.70547278;#2686a0
W. excavata;22.27598903;0.676955991;43;48.96852987;14.30339222;#2686a0
W. excavata;44.32776396;0.815357957;42;77.33732625;24.8920406;#2686a0
W. excavata;26.09228218;0.801204431;26;79.02517604;15.4065587;#2686a0
W. excavata;20.85315466;0.735412332;22;59.09405831;12.60744092;#2686a0
W. excavata;31.23101228;0.805465778;16;79.36390821;18.42116627;#2686a0
W. excavata;14.11292371;0.406455745;40;28.66764379;10.34140852;#2686a0
W. excavata;36.64551411;0.813545245;15;79.49662699;21.82641968;#2686a0
W. excavata;44.63457059;0.817366085;22;80.01513178;25.72599483;#2686a0
W. excavata;21.84818119;0.583295971;21;46.31481806;13.41077572;#2686a0
W. excavata;10.56404473;0.297327988;24;24.48817131;8.461837718;#2686a0
W. excavata;44.88571404;0.813142863;50;77.48406839;24.75058098;#2686a0
W. excavata;54.43650447;0.810260098;14;75.43717847;25.64209537;#2686a0
W. excavata;35.28187718;0.794932501;50;71.80826867;21.49669779;#2686a0
W. excavata;44.64278762;0.816342076;41;77.81694621;24.46656337;#2686a0
W. excavata;42.65018782;0.813785835;15;75.26386964;24.6742455;#2686a0
W. excavata;48.04974307;0.82611222;24;81.87323103;27.2917801;#2686a0
W. excavata;42.90369778;0.81502381;29;79.57131615;24.78257345;#2686a0
W. excavata;22.2742178;0.742686913;24;59.49109613;14.44220486;#2686a0
W. excavata;22.17362013;0.617623677;49;49.74672391;14.33566351;#2686a0
W. excavata;43.78059472;0.809873245;47;80.07239075;25.60117307;#2686a0
W. excavata;41.44476827;0.813118725;37;76.40813939;25.14750689;#2686a0
W. excavata;43.90825158;0.817219414;17;78.51017506;25.20397335;#2686a0
W. excavata;39.41327576;0.813352915;32;76.07358616;23.38060185;#2686a0
W. excavata;23.65657828;0.748680821;50;60.7113031;15.54543487;#2686a0
W. excavata;53.67018313;0.825484667;24;81.03728738;26.76593056;#2686a0
W. excavata;10.41369635;0.451996823;20;27.97393395;8.581301832;#2686a0
W. excavata;18.83288569;0.722744846;50;54.96463164;12.17423403;#2686a0
W. excavata;44.7272267;0.816473352;39;77.88099178;24.39666653;#2686a0
W. excavata;15.24973248;0.438364502;15;30.42787389;10.99402134;#2686a0
W. excavata;21.7295347;0.738336372;29;57.95055475;14.55340503;#2686a0
W. excavata;9.737258703;0.420739715;31;24.432026;7.868055555;#2686a0
W. excavata;48.87421514;0.818779629;30;78.7431413;25.81237838;#2686a0
W. excavata;40.50283582;0.802098077;18;74.44738185;24.53741211;#2686a0
W. excavata;39.55739265;0.810622248;47;75.10349558;23.25254601;#2686a0
W. excavata;41.94406789;0.812336139;43;75.72517527;23.86066262;#2686a0
W. excavata;37.37108489;0.804092657;44;74.21810942;22.37470991;#2686a0
W. excavata;23.07665948;0.674087027;29;46.73385832;14.37049477;#2686a0
W. excavata;46.96109944;0.800170764;23;79.57593544;26.54517249;#2686a0
W. excavata;25.60905248;0.777489463;42;66.84733455;15.74725835;#2686a0
W. excavata;40.53992088;0.816711475;43;78.08754318;24.19639324;#2686a0
W. excavata;32.8614253;0.771881708;30;67.05259669;20.51282448;#2686a0
W. excavata;49.43405837;0.818677776;31;78.75575172;25.34202706;#2686a0
W. excavata;51.84056355;0.823931434;18;80.85548488;27.06537206;#2686a0
W. excavata;32.43555472;0.764476443;47;64.02008611;20.53658266;#2686a0
W. excavata;53.82357241;0.738484644;27;73.24929353;19.39040321;#2686a0
W. excavata;15.61014429;0.538975975;28;34.37924737;10.60394053;#2686a0
W. excavata;44.71881766;0.801981309;36;77.08773071;25.55237291;#2686a0
W. excavata;41.3561283;0.81468168;46;76.50733552;24.93910816;#2686a0
W. excavata;42.48043686;0.791764419;22;75.74066947;25.25245559;#2686a0
W. excavata;46.59512646;0.815114991;37;79.38236778;26.14578254;#2686a0
W. excavata;49.43780863;0.80555202;33;79.42270281;26.30986033;#2686a0
W. excavata;41.31994757;0.81251092;42;75.90316581;24.84900558;#2686a0
W. excavata;52.20871771;0.82655897;23;81.73530961;27.23145555;#2686a0
W. excavata;34.31494209;0.748372046;36;61.88219701;20.55285335;#2686a0
W. excavata;16.18095965;0.538555321;28;35.20790812;10.86772769;#2686a0
W. excavata;40.25335577;0.812615701;18;74.64762941;24.83032676;#2686a0
W. excavata;47.93376042;0.821389539;35;81.20591522;26.97078422;#2686a0
W. excavata;39.82347954;0.814068272;32;77.09398237;23.75716015;#2686a0
W. excavata;39.63520091;0.799303514;46;72.22326903;24.06319544;#2686a0
W. excavata;40.45258307;0.81448691;27;77.68006271;23.66005116;#2686a0
W. excavata;25.14032732;0.728765974;39;57.16205477;16.38515915;#2686a0
W. excavata;38.35586766;0.80683452;37;78.43152295;22.38905016;#2686a0
W. excavata;36.107712;0.807213397;42;76.08056046;20.30191441;#2686a0
W. excavata;40.43249192;0.812945219;21;75.89797061;24.58688533;#2686a0
W. excavata;49.05297468;0.810950885;19;79.56791736;26.22615257;#2686a0
W. excavata;24.89532221;0.727709616;42;59.25336892;15.7069559;#2686a0
W. excavata;50.83397398;0.817145677;13;79.00884198;24.37832799;#2686a0
W. excavata;41.53522675;0.816219527;28;77.12823629;23.96871333;#2686a0
W. excavata;47.62719994;0.812531648;19;78.10829571;25.05588153;#2686a0
W. excavata;47.27688652;0.82587586;15;81.78305538;27.26250191;#2686a0
W. excavata;39.92803554;0.810615557;36;76.68180301;23.1054875;#2686a0
W. excavata;15.89389509;0.579324544;40;38.35558531;10.8575721;#2686a0
W. excavata;46.48194311;0.817892258;23;78.66126663;25.63144801;#2686a0
W. excavata;34.85553888;0.723628908;26;58.69378862;19.8400095;#2686a0
W. excavata;45.87222219;0.822322253;17;80.01376227;26.57953893;#2686a0
W. excavata;13.05758461;0.532681281;44;32.61139021;9.511952006;#2686a0
W. excavata;46.49621017;0.824304775;16;80.98629045;26.93383544;#2686a0
W. excavata;19.92753076;0.608726242;38;43.64085156;13.1452493;#2686a0
W. excavata;24.47290928;0.523554578;23;46.50446364;15.6457423;#2686a0
