Taxa;T-index;M-index;Area;pfT-index (C);pfT-index (A)
W. excavata;51.78697834;0.81843881;40;4.717911368;2.687848104
W. excavata;46.33028378;0.823582231;21;4.772223177;2.71990247
W. excavata;43.12333303;0.819065208;18;4.707699934;2.598563368
W. excavata;41.34258964;0.811974077;20;4.610247854;2.655927513
W. excavata;51.41737778;0.814933741;50;4.683235521;2.650774301
W. excavata;52.83545747;0.819816638;46;4.68942589;2.627829977
W. excavata;43.62238135;0.811014315;29;4.592763976;2.598408666
W. excavata;46.05168755;0.825862042;27;4.803530834;2.773772397
W. excavata;40.17384277;0.816031689;31;4.687229035;2.565722822
W. excavata;43.17864676;0.818421864;27;4.68753541;2.671688852
W. excavata;12.53953307;0.478425911;37;2.903999987;1.581287204
W. excavata;27.87425146;0.779164438;43;4.375579793;2.178842953
W. excavata;45.87340412;0.814847511;23;4.667203407;2.55339188
W. excavata;45.88429552;0.812629297;48;4.695713445;2.647265974
W. excavata;31.71200234;0.752496021;23;3.998689862;2.099152257
W. excavata;40.93810571;0.81678262;35;4.68081165;2.580666681
W. excavata;24.75543335;0.668492318;43;3.919175447;2.074706098
W. excavata;24.22325729;0.67718634;37;3.743575971;2.037001025
W. excavata;42.96569561;0.816158867;45;4.652836515;2.652469313
W. excavata;21.39456167;0.678734054;46;3.557532687;1.943340792
W. excavata;22.57595193;0.658957354;14;3.663541334;1.977710841
W. excavata;39.97709208;0.817556939;19;4.728948588;2.553911668
W. excavata;51.93427755;0.826706293;14;4.805334022;2.774409994
W. excavata;45.99619996;0.818641165;41;4.764837533;2.744637054
W. excavata;23.14053913;0.742802265;48;4.044427865;2.080075146
W. excavata;18.18519427;0.346033213;28;3.175010163;1.837308958
W. excavata;22.08516745;0.698836496;42;3.732994845;1.98869459
W. excavata;14.86375754;0.466289564;48;2.943606892;1.755651157
W. excavata;22.26056528;0.701436352;40;3.741547208;1.955099966
W. excavata;43.98277203;0.818902893;46;4.693683737;2.68165965
W. excavata;54.81347781;0.821732682;12;4.722978535;2.629663665
W. excavata;23.26092847;0.524633475;14;3.373153086;1.923110974
W. excavata;64.85387677;0.830923907;15;4.805492673;2.774516068
W. excavata;20.02332153;0.743785269;40;3.999644028;1.859981345
W. excavata;27.38153085;0.809093896;31;4.743811184;2.090351148
W. excavata;37.79192409;0.766853582;22;4.405295804;2.391852289
W. excavata;40.80490576;0.792385113;14;4.382707978;2.39640784
W. excavata;21.97695718;0.688965105;44;3.832254868;1.966928133
W. excavata;40.28375269;0.810192111;37;4.619346956;2.474297068
W. excavata;40.48268303;0.805615097;16;4.595236952;2.602535918
W. excavata;42.55767153;0.753741894;28;4.603419854;2.647286594
W. excavata;92.08647617;0.898401398;38;4.803541459;2.773676624
W. excavata;50.5047757;0.818626316;25;4.682893515;2.643457192
W. excavata;42.87766778;0.809527219;38;4.563081115;2.633296036
W. excavata;23.80716965;0.763774473;29;4.152714483;2.027004553
W. excavata;31.29508436;0.788919607;46;4.458440364;2.307143669
