10 points;20 points;30 points;40 points;50 points;60 points;70 points;80 points;90 points;100 points;125 points;150 points;175 points;200 points;400 points;600 points;800 points;1000 points;1500 points
;;;;;;;;;;31.90822191;24.18560382;46.84510766;40.26672821;41.01378288;40.79023652;17.87025342;;
;;;;;;;;;;46.31319906;41.60339929;43.91549883;54.23125526;22.39438811;30.61464908;45.54048202;;
;;;;;;;;;;16.5852875;46.45809433;40.49349893;19.32833269;8.473604608;43.45486077;16.67814883;;
;;;;;;;;;;18.45980593;44.06751076;46.37601999;39.05301743;48.18085264;10.21041291;24.5373992;;
;;;;;;;;;;27.46578948;45.09159837;21.53498289;43.95212685;21.59759427;38.20678484;41.83572564;;
;;;;;;;;;;48.41028346;43.16703832;22.38653472;40.20656398;22.835041;42.5666412;39.92968556;;
;;;;;;;;;;55.04812752;12.68861663;57.81637569;46.22565768;29.71729718;47.11336065;20.48324287;;
;;;;;;;;;;48.30081073;27.29819743;27.08773371;38.34729867;21.45318075;23.4217998;29.9085166;;
;;;;;;;;;;18.25193285;22.25488401;49.20189683;31.39600849;41.70560636;40.69839999;40.6103448;;
;;;;;;;;;;20.81334702;47.07042594;26.80078763;27.80330088;44.08472177;36.72241425;36.46208013;;
;;;;;;;;;;25.69938486;20.98420148;18.94632058;43.64851013;42.81441219;50.11011324;42.74983733;;
;;;;;;;;;;38.70734985;48.97617031;41.53779575;15.96124986;25.9375468;23.11711768;21.41069229;;
;;;;;;;;;;41.66469359;54.01955296;40.72438675;31.24153758;30.1375955;15.65891721;22.49072647;;
;;;;;;;;;;46.89016008;47.37879526;28.48809059;48.74167648;15.2976966;19.77935632;19.47628684;;
;;;;;;;;;;16.34955928;45.35341707;25.09533341;42.26461542;35.76786166;39.93016998;20.50085995;;
;;;;;;;;;;92.27778314;25.87306293;42.21118421;15.27306585;19.36991222;35.63754806;46.65496304;;
;;;;;;;;;;43.77894416;47.23401411;45.9302586;47.12450382;41.15601705;25.3419365;48.40623471;;
;;;;;;;;;;32.57967614;26.64261848;18.2013338;45.44800212;24.75020627;10.4491472;7.615208243;;
;;;;;;;;;;;47.8283031;11.25894923;17.00224804;37.52211512;16.38647388;44.88443706;;
;;;;;;;;;;;18.84715197;46.86685973;34.3415101;33.66618501;41.45738232;40.1473259;;
;;;;;;;;;;;9.727749642;42.20775594;40.07428632;28.3772118;35.06789753;25.80970428;;
;;;;;;;;;;;16.17483596;26.27687822;26.53396453;45.53757724;46.93325078;45.00289432;;
;;;;;;;;;;;29.71486092;48.02138931;21.01258771;32.27419406;41.22274097;41.00441242;;
;;;;;;;;;;;40.4630752;18.40967048;20.47373436;35.76703257;39.62878091;21.38213538;;
